week,sexual_score,surveillance_score,legal_score
2025-09-29/2025-10-05,3,0,0
2025-10-13/2025-10-19,9,0,4
2025-10-20/2025-10-26,37,0,6
2025-11-10/2025-11-16,8,8,37
2025-11-17/2025-11-23,62,48,85
2025-11-24/2025-11-30,4,4,3
2025-12-01/2025-12-07,0,0,0
2025-12-08/2025-12-14,6,6,33
2025-12-29/2026-01-04,0,0,0
2026-01-19/2026-01-25,0,1,2
2026-01-26/2026-02-01,0,0,3
